"id","title","dates","company","description"
"PF370","Support Engineer","2016-2017","Pageflex - Marlboro, MA",""
"DA350","Trouble Resolution Specialist/Information Engineer","September 2012 to January 2016","Dining Alliance — Waltham, MA ","Managed IT Infrastructure as Trouble Resolution Specialist/Information Engineer for nations largest Foodservice GPO – In capacity of Trouble Resolution Specialist more traditional desktop support functions for nationwide group, software, hardware (memory and mass storage) installations and troubleshooting. Includes Email administration using both Gmail and Exchange. Design and development VOIP phone system/admin. Facilited email migrations for 3 sister companies. DNS Administration for family of companies separate domains. Virtualization (GTM, Chrome Desktop, VNC and Teamviewer). Teamdrive and Onedrive administration. Linux/Ubuntu Xforwarding integration in a Windows environment- remote administration SSH and Powershell. In capacity of Information Engineer Salesforce Design/Dev of 8000+ to date ticketing system. Design and Dev Product/Asset inventory system. DA Intranet Web site and Salesforce/Sharepoint Integration. Development of SQLite/Ditto Automated Data Entry system using Ruby/VB/MS Access.  "
"DA350S","Trouble Resolution Specialist/Information Engineer","2012-2016 ","Dining Alliance — Waltham, MA","Managed IT Infrastructure as Trouble Resolution Specialist/Information Engineer for nations largest food service GPO – Facilitated introduction of Sidekick/Hubspot (email sales/marketing superpower tracking. )  Design and development VOIP phone system/admin to emphasize market branding for each separate company. Facilitated email migrations for 3 sister companies. DNS Administration for family of companies various domains for each separate marketing brand. Virtualization (Goto Meeting and Clearslide facilitating sales presentations). In capacity of Information Engineer Salesforce Design/Development of 8000+ to date customer ticketing system. Design and Development DA Intranet Web site and Salesforce(TM)/Sharepoint(TM)  Integration."
"GHME340","Programmer/Systems/Database Administrator and Miles Application Support","June 2006 to November 2011","Gatehouse Media New England — Needham, MA","• For largest community newspaper organization in New England Database/Reporting of revenue tracking in support of Sales, Finance and Production depts.. "
"GHME320","Lead Helpdesk Customer Service Operator/Database- Administrator/ Supervisor","January 1996 to January 2007","Gatehouse Media New England — Needham, MA",""
"CUC250","Operations Center Representative","January 1999 to January 2001","Credit Union Center/Mass. Credit Union League-PT — Southborough, MA ","• Loan applications, processing and approvals over the telephone and on the internet."
"NYNEX249","Sales Incentive Support/Database Administrator ","January 1995 to January 1996","NYNEX Telephone DMC — Braintree, MA",""
"NYNEX248","Sales Supervisor/Coach ","January 1994 to January 1995","NYNEX Telephone DMC — Braintree, MA ",""
"NYNEX247","Sales Quality Control Supervisor","January 1994 to January 1994 ","NYNEX Telephone DMC — Marlborough, MA",""
"NYNEX246","Telephone Sales Representative ","January 1992 to January 1994","NYNEX Telephone DMC — Marlborough, MA",""
"HSS245","Home Office Workstation Consultant","January 1989 to January 1991","Highland Superstores — Worcester, MA",""
"C21-244","Account Executive/ Area Manager/ Branch Mgr-Braintree","January 1987 to January 1989","",""
"CMC243","Account Executive","January 1985 to January 1987","Commonwealth Mortgage Company— Wellesley, MA",""
"RW242","Real estate Salesperson","January 1984 to January 1985","Realty World Suburban West-PT— Framingham, MA ",""
"CUC250NODATES","Operations Center Representative","","Credit Union Center/Mass. Credit Union League-PT — Southborough, MA","• Loan applications, processing and approvals over the telephone and on the internet."
"NYNEX249NODATES","Sales Incentive Support/Database Administrator","","NYNEX Telephone DMC — Braintree, MA",""
"NYNEX248NODATES","Sales Supervisor/Coach","","NYNEX Telephone DMC — Braintree, MA",""
"NYNEX247NODATES","Sales Quality Control Supervisor","","NYNEX Telephone DMC — Marlborough, MA",""
"NYNEX246NODATES","Telephone Sales Representative","","NYNEX Telephone DMC — Marlborough, MA ",""
"HSS245NODATES","Home Office Workstation Consultant","","Highland Superstores — Worcester, MA ",""
"C21-244NODATES","Account Executive/ Area Manager/ Branch Mgr-Braintree","","Century 21 Mortgage Corp — Burlington, MA",""
"CMC243NODATES","Account Executive","","Commonwealth Mortgage Company— Wellesley, MA",""
"RW242NODATES","Real estate Salesperson","","Realty World Suburban West-PT— Framingham, MA",""
"CMC243NODATESENH","Account Executive","","Commonwealth Mortgage Company— Wellesley, MA",""
"C21-244NODATESENH","Account Exec/ Area Mgr/ Branch Mgr-Braintree","","Century 21 Mortgage Corp — Burlington, MA",""
"NYNEX249NODATESENH","Sales Incentive Support/Database Administrator, Sales Supervisor/Coach, Sales Quality Control Supervisor, TSR New England Telephone Golden Circle Award and Directors Club Award for sales. ","","NYNEX Telephone DMC — Braintree, MA  and Marlborough, MA",""
"HSS245NODATESENH","Home Office Workstation Consultant","","Highland Superstores — Worcester, MA","-  Past recipient Superstar of month avg sales per month Nov/Dec 25-30 PC's "
"CUC250NODATESENH","Operations Center Representative","","Credit Union Center/Mass. Credit Union League-PT — Southborough, MA"," • Loan applications, processing and approvals over the telephone and on the internet."
"Pallad001","Gatehouse Control Room/Concierge-PT Weekends","02/2012-4/2013","Palladion Services-PT Boston, MA","Equity West End Properties (Gatehouse and Control Room)
    Reference: Patrick Knight"
"Pallad000","Concierge-PT Weekends","04/2006-10/2010","Palladion Services-PT Boston, MA","Barclays on Beacon Front Desk Concierge
    Reference: Patrick Knight"
"LWPIZ000","Pizza Delivery Driver","12/98-2000","Lake Williams Pizza-PTMarlboro, MA","
        Food Delivery in Marlboro, MA.
        Food preparation and set-up.
      "
"FirstS000","3rd Shift Control Room/Security Officer","9/90-1998","First Security Services Corp.Westboro, MA","
        Central monitoring of facilities/CECURE alarm systems, CCTV surveillance and front desk security/customer service for DEC/Quantum facility.
        First Quality Awards, Officer of the Month Awards
        Developed custom user interface on VAX/VMS Alpha cluster system using DCL.
      "
"WH000","Convenience Store Cashier/ Clerk/ Deli-person.","8/88-8/93","White Hen Pantry-PTNatick, MA","
        Responsible for overnight business and prep of store for morning business.

        Duties include. cashiering, custom deli, sandwichmaking, clean-up, stocking and pricing involving all facets of a fast paced convenience store business.
      "
"RGN000","Freelance Computer Consulting-","6/90-Present","Self-employed-PT","PC tutorials, software installation, application programming, invoicing systems, databases, interfacing own custom designed software with commercially available software off the shelf."
"MB000","Mortgage Broker full/part-time","2/89-To be determined","Multiple Companies  NY/MA","
        Mortgage origination sales of  First, Second and Commercial mortgage loans both inside sales inbound and outbound mode and also outside sales account development.

        Developed mortgage tracking and marketing applications utilizing office suite software applications for internal usage.

        *** content to be determined ***
      "
"PW100","Night Auditor – Part time weekend","8/87-8/90","Park West Hotel and Club -PT Marlboro, MA","
        Performed Night Audit procedure in both computerized and NCR environment.
        Duties consisted of data/entry posting of all daily recievables, room and tax, food and beverage, room service, laundry, telephone charges, running of end of day procedure and preparing of guest bills for checkout . In addition performed frontdesk guest service functions for night audit shift.
      "
"RADS162","Retail Salesperson","9/85-3/86","Radio Shack, INC.-PT  Stow, MA","
        Retail sales  part-time of consumer electronics products, stereos, vcrs,  radios, computers and hobby electronic components.

        Duties involved merchandising, stocking and customer service for repairs.
      "
"RWSW161","Real estate Salesperson -part time","6/84-12/85","Realty World Suburban West-PTFramingham, MA","Responsible for sale of 5 properties in Hudson, Franklin, and Worcester"
"GNRD160","Senior Project Supervisor/DesignDrafting","2/84-8/85","Genrad Inc.Bolton, MA","Supervised Electro-Mechanical design/drafting group"
"LFE150","Electrical Product Design Engineer","11/82-2/84","LFE Corp.Clinton, MA","Electro-Mechanical Packaging design of AUTOHEX project."
"NEN140","Lead Sr. Electrical/Electronics Designer","5/80-11/82","New England Nuclear Corp./Dupont  Billerica, MA","Electrical / Electronic Packaging Design LINAC project"
"PKEL133","Electronics Technician","6/78-5/80","PK Electronics-PTChicago, IL","Part-time Prototype  and production assembly and testing."
"INTERFTECH132","PC Designer -free lance","1/80-5/80","Interface Technology-PTChicago, IL","Design-layout , detailing and checking of small custom designed PC boards for personal computer interface hardware."
"INDPATRL131","Security Guard part-time weekends","1/76-5/80","Industrial Patrol Service-PTChicago, IL","Watch tour security patrols, front lobby security at large variety of sites, such as insurance companies,  manufacturing  plants, oil refinery, air hanger and die casting foundry."
"NT130","Electronics Design Draftsman","12/74-5/80","NI-TEC INC.Chicago, IL","Design/documentation of military and commercial night vision systems."
"GUARDEL120","Electro-mechanical Detail Draftsman","8/74-11/74","Guardian Electric Chicago, IL","Tracing and detailing  of  electro-mechanical  control devices such as solenoids, relays and stepper switches."
"CHROMAL110","Electro-mechanical Detail Draftsman","3/74-8/74","Chromolloy Alcon Chicago, IL","Tracing and detailing  of  small precision electrical connectors."
"100","","","",""
